"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"pglobal_cv"	"qglobal_cv"
"NOTCH1"	404	2700	772	360	1208	3.98846230912502	21.7266421919647	21.7266421919647	17.6547328391658	0	0	0	8.07429581976078e-68	0	0	0	0	0
"TP53"	166	976	243	143	354	3.02538919144192	12.023417595459	12.023417595459	33.5631029735465	0	0	0	1.48314804544833e-99	0	0	0	0	0
"NOTCH2"	188	1000	266	146	232	2.51217490738693	10.6383093669579	10.6383093669579	3.50586011533233	0	0	0	9.13400104020451e-08	0	0	0	0	0
"FAT1"	434	1120	1245	156	1078	1.20357121621827	23.2446768260372	23.2446768260372	8.77517463903509	0.000881366523972082	0	0	6.67982881836687e-30	0.011017081549651	0	0	0	0
"NOTCH3"	249	527	79	58	119	1.07166387266866	3.51385223986177	3.51385223986177	1.91443141021244	0.364833070990758	0	0	0.00796936185437756	0.686973741054983	0	0	0	0
"ARID2"	92	289	98	24	76	1.07327973900269	4.93278678114905	4.93278678114905	1.54630792105147	0.548962247837357	0	0	0.0613572316766184	0.748584883414578	0	0	0	0
"AJUBA"	32	75	20	12	49	1.1876098190984	7.92221264453929	7.92221264453929	3.39595854431877	0.400431546630696	1.0769163338864e-14	8.88178419700125e-15	1.06959792951329e-05	0.721422057343253	1.153838929164e-13	8.32667268468867e-14	0	0
"KMT2D"	489	946	113	36	303	0.92893135355125	2.05121547208432	2.05121547208432	2.04382987147246	0.186770667182976	7.2819528185164e-13	3.44169137633799e-15	0.00258159186735433	0.500278572811542	6.82683076735913e-12	3.68752647464784e-14	3.33066907387547e-16	3.12250225675825e-15
"CUL3"	72	69	5	6	22	0.40913536213422	0.544881143990917	0.544881143990917	1.06868916479212	1.26884356910217e-07	0.0431000488082578	8.40834621929076e-07	0.413060532234117	2.37908169206658e-06	0.146931984573606	7.0069551827423e-06	5.51295156636655e-06	4.59412630530546e-05
"TP63"	58	126	15	18	35	1.16689348845829	2.7240325650811	2.7240325650811	1.91988845750768	0.320699217274827	1.42431353415962e-05	6.23244313248117e-05	0.0186922511263485	0.639719273401231	9.71122864199738e-05	0.000311622156624058	1.7081930058116e-05	0.00012811447543587
"RB1"	39	106	21	17	27	1.05021175469225	2.6456436990556	2.6456436990556	1.08568319447005	0.789077326556727	2.48261580516607e-05	1.71703518385691e-05	0.389321523267501	0.910473838334685	0.000155163487822879	0.000117070580717516	8.63385507758885e-05	0.000588671937108331
"PIK3CA"	46	167	3	3	9	1.35986572429821	0.303702955427021	0.303702955427021	0.314499434880784	0.0536178770894461	0.00139561607989791	1.08038389029508e-05	0.995443751680737	0.251333798856779	0.00696796651457488	8.10287917721308e-05	0.000133789286797414	0.00083618304248384
"DICER1"	113	254	6	1	25	0.890259426904848	0.237381395439157	0.237381395439157	0.485641497497484	0.304550919994941	4.25090318978416e-06	2.27729162793899e-05	0.971034494987661	0.639719273401231	3.54241932482013e-05	0.000142330726746187	0.00025915295271195	0.00147473450720418
"MUC17"	418	1537	28	8	110	1.27232001135282	1.11298443900115	1.11298443900115	0.914354659240257	7.70699851937451e-06	0.543693726375476	4.0589110421152e-05	0.581999024947607	0.000115604977790618	0.647254436161281	0.000234167944737415	0.000275283774678114	0.00147473450720418
"NSD1"	187	404	10	3	48	0.870693091250987	0.338247840011489	0.338247840011489	0.664837267853286	0.119265530414023	8.92937829377605e-06	5.06512452080887e-05	0.872410036130384	0.388909338306597	6.69703372033204e-05	0.000271345956471904	0.000487270172255139	0.00243635086127569
"NOTCH4"	157	348	10	2	65	1.07828918977739	0.398245260839623	0.398245260839623	1.21163191576244	0.428837643309381	0.000435849997917126	0.00033591279513645	0.244304817388678	0.721422057343253	0.00251451921875265	0.00148196821383728	0.000854133506368315	0.00400375081110148
